Power Lv,Str/Agi/Int,MaxHP (Player),MaxHP (Enemy),,0,Ability/Switch Skill,Skill,Effect,Description,,0,Buff,Skill,Effect,MaxStack X,Upgrade MaxStack X,ActivateType,Stack Decrease At / Tick,Stack Increase At,Removed Directly At,Description,,0,Passive,Skill,Effect,Max Stacks,ActiveType,PassiveType,Description,,0,SkillType,0,EffectType
,,,,,11,Wind Attack,Damage,Wind,"Consume all Wind element, deal X% elemental damage based on the strongest attributes to the opponent for each stack (Trigger Finale on max stacks)",,11,Earth Action Buff,InstantBoost,Earth,15,20,Multiple,N/A,N/A,ActionCycleEnd,"For next action's Earth element attack or heal, boost 5X% (Consumed on use)",,11,Strength Turn Heal,TurnHeal,Strength,N/A,TurnEnd,JobOn,Recover X% Str health to self in the end of turn,,11,Protect,11,Debuff
,,,,,12,Light Attack,Damage,Light,"Consume all Light element, deal X% elemental damage based on the strongest attributes to the opponent for each stack (Trigger Finale on max stacks)",,12,Wind Action Buff,InstantBoost,Wind,15,20,Multiple,N/A,N/A,ActionCycleEnd,"For next action's Wind element attack or heal, boost 5X% (Consumed on use)",,12,Intelligence Turn Heal,TurnHeal,Intelligence,N/A,TurnEnd,JobOn,Recover X% Agi health to self in the end of turn,,12,Reflect,12,Protect
,,,,,13,Dark Attack,Damage,Dark,"Consume all Dark element, deal X% elemental damage based on the strongest attributes to the opponent for each stack (Trigger Finale on max stacks)",,13,Light Action Buff,InstantBoost,Light,15,20,Multiple,N/A,N/A,ActionCycleEnd,"For next action's Light element attack or heal, boost 5X% (Consumed on use)",,13,Agility Turn Heal,TurnHeal,Agility,N/A,TurnEnd,JobOn,Recover X% Int health to self in the end of turn,,13,Vulnerable,13,Fire
,,,,,14,Element Attack,Damage,Element,"Consume all element buffs, deal X% elemental damage based on the strongest attributes to the opponent for each stack (Trigger Finale on max stacks)",,14,Dark Action Buff,InstantBoost,Dark,15,20,Multiple,N/A,N/A,ActionCycleEnd,"For next action's Dark element attack or heal, boost 5X% (Consumed on use)",,14,Max HP Turn Heal,TurnHeal,MaxHP,N/A,TurnEnd,JobOn,Recover X% MaxHP health to self in the end of turn,,14,Sacrifice,14,Wind
,,,,,15,Venom Explode,Damage,Venom,"Remove all Venom buff from the opponent, or each stack deal 20% damage based on opponent's Str",,15,Strength Buff,Buff,Strength,3,5,StatusBoost,TurnStart,N/A,N/A,Buff Str by 10X%,,15,Protect Turn Heal,TurnHeal,Protect,N/A,TurnEnd,JobOn,Recover X% Protect health to self in the end of turn,,15,ApplyOn,15,Earth
,,,,,16,Restrain Explode,Damage,Restrain,"Remove all Restrain buff from the opponent, or each stack deal 20% damage based on opponent's Agi",,16,Agility Buff,Buff,Agility,3,5,StatusBoost,TurnStart,N/A,N/A,Buff Agi by 10X%,,16,Strength Action Heal,ActionHeal,Strength,N/A,AfterAction,JobOn,Recover X% Str health to self after every actions ,,16,Curse,16,Thunder
,,,,,17,Insane Explode,Damage,Insane,"Remove all Insane buff from the opponent, or each stack deal 20% damage based on opponent's Int",,17,Intelligence Buff,Buff,Intelligence,3,5,StatusBoost,TurnStart,N/A,N/A,Buff Int by 10X%,,17,Intelligence Action Heal,ActionHeal,Intelligence,N/A,AfterAction,JobOn,Recover X% Agi health to self after every actions,,17,Upgrade,17,Water
,,,,,18,Raw Heal,Heal,Null,Recover X HP,,18,Max HP Buff,Buff,MaxHP,3,5,StatusBoost,TurnStart,N/A,N/A,Buff MaxHP by 10X%,,18,Agility Action Heal,ActionHeal,Agility,N/A,AfterAction,JobOn,Recover X% Int health to self after every actions,,18,Null,18,Light
,,,,,19,Strength Heal,Heal,Strength,Recover X% HP based on Str,,19,Gain AP Next,Buff,Action,4,4,StatusBoost,N/A,N/A,TurnStart,Gain X Action Points next turn,,19,Max HP Action Heal,ActionHeal,MaxHP,N/A,AfterAction,JobOn,Recover X% MaxHP health to self after every actions,,19,Discard,19,Dark
,,,,,20,Agility Heal,Heal,Agility,Recover X% HP based on Agi,,20,Draw Ability Next,Buff,Draw,4,4,StatusBoost,N/A,N/A,TurnStart,Draw X abilities next turn,,20,Protect Action Heal,ActionHeal,Protect,N/A,AfterAction,JobOn,Recover X% Protect health to self after every actions ,,20,ActionBuff,20,Bleed
,,,,,21,Intelligence Heal,Heal,Intelligence,Recover X% HP based on Int,,21,Stack Charge ,Buff,Charge,N/A,N/A,AttackEffect,N/A,ActionCycleEnd,AttackEffect,"Increase 15X% more damage on next one attack for every non attack action (up to 50%, 80% if upgraded)",,21,Strength Start Buff,InstantBoost,Strength,3/5,CombatStart,AsBuff,Gain X Str buff at the start of combat,,21,ActionDebuff,21,Injury
,,,,,22,HP Heal,Heal,MaxHP,Recover X% HP based on MaxHP,,22,Stack Guard,Buff,Guard,N/A,N/A,GotAttacked,GotAttacked,N/A,GotAttacked,"30% (40% if upgraded) reduce for next x damage received, decay by 10% every hit",,22,Agility Start Buff,InstantBoost,Agility,3/5,CombatStart,AsBuff,Gain X Agi buff at the start of combat,,22,Drain,22,Venom
,,,,,23,Protect Heal,Heal,Protect,Recover X% HP based on Protect Value,,23,Fire Element,Buff,Fire,5,10,AttackEffect,GotAttacked,N/A,Multiple,"Non-elemental ability deal 3X% more damage to the target with Burn and Wind element, and reduce 5X% damage from Fire and Wind element. ",,23,Intelligence Start Buff,InstantBoost,Intelligence,3/5,CombatStart,AsBuff,Gain X Int buff at the start of combat,,23,Combo,23,Restrain
,,,,,24,Fire Heal,Heal,Fire,"Consume all Fire elements, elemental heal X% based on the strongest stat for each stack (Trigger Enchant on max stacks)",,24,Water Element,Buff,Water,5,10,AttackEffect,GotAttacked,N/A,Multiple,"Non-elemental ability deal 3X% more damage to the target with Chill and Fire element, and reduce 5X% damage from Water and Fire element.",,24,Max HP Start Buff,InstantBoost,MaxHP,3/5,CombatStart,AsBuff,Gain X MaxHP buff at the start of combat,,24,TurnBuff,24,Insane
,,,,,25,Water Heal,Heal,Water,"Consume all Water elements, elemental heal X% based on the strongest stat for each stack (Trigger Enchant on max stacks)",,25,Thunder Element,Buff,Thunder,5,10,AttackEffect,GotAttacked,N/A,Multiple,"Non-elemental ability deal 3X% more damage to the target with Paralysis and Water element, and reduce 5X% damage from Thunder and Water element. ",,25,Fire Element,InstantBoost,Fire,5/10,CombatStart,AsBuff,Start the combat with X Fire  element,,25,TurnDebuff,25,Element
,,,,,26,Thunder Heal,Heal,Thunder,"Consume all Thunder elements, elemental heal X% based on the strongest stat for each stack (Trigger Enchant on max stacks)",,26,Earth Element,Buff,Earth,5,10,AttackEffect,GotAttacked,N/A,Multiple,"Non-elemental ability deal 3X% more damage to the target Seed and Thunder element, and reduce 5X% damage from Earth and Thunder element.",,26,Water Element,InstantBoost,Water,5/10,CombatStart,AsBuff,Start the combat with X Water element,,,,26,Humanoid
,,,,,27,Earth Heal,Heal,Earth,"Consume all Earth elements, elemental heal X% based on the strongest stat for each stack (Trigger Enchant on max stacks)",,27,Wind Element,Buff,Wind,5,10,AttackEffect,GotAttacked,N/A,Multiple,"Non-elemental ability deal 3X% more damage to the target Dizzy and Earth element, and reduce 5X% damage from Wind and Earth element. ",,27,Thunder Element,InstantBoost,Thunder,5/10,CombatStart,AsBuff,Start the combat with X Thunder element,,,,27,Creature
,,,,,28,Wind Heal,Heal,Wind,"Consume all Wind elements, elemental heal X% based on the strongest stat for each stack (Trigger Enchant on max stacks)",,28,Light Element,Buff,Light,5,10,AttackEffect,GotAttacked,N/A,Multiple,"Non-elemental ability deal 3X% more damage to the target Blind and Dark element, and reduce 5X% damage from Dark element.",,28,Earth Element,InstantBoost,Earth,5/10,CombatStart,AsBuff,Start the combat with X Earth element,,,,28,Spirit
,,,,,29,Light Heal,Heal,Light,"Consume all Light elements, elemental heal X% based on the strongest stat for each stack (Trigger Enchant on max stacks)",,29,Dark Element,Buff,Dark,5,10,AttackEffect,GotAttacked,N/A,Multiple,"Non-elemental ability deal 3X% more damage to the target Depress and Light element, and reduce 5X% damage from Light element. ",,29,Wind Element,InstantBoost,Wind,5/10,CombatStart,AsBuff,Start the combat with X Wind element,,,,29,Matter
,,,,,30,Dark Heal,Heal,Dark,"Consume all Dark elements, elemental heal X% based on the strongest stat for each stack (Trigger Enchant on max stacks)",,30,Strength Debuff,Debuff,Strength,3,5,StatusBoost,TurnEnd,N/A,N/A,Debuff Str by 10X%,,30,Light Element,InstantBoost,Light,5/10,CombatStart,AsBuff,Start the combat with X Light element,,,,30,LifeSteal
,,,,,31,Elemental Heal,Heal,Element,"Consume all elements, elemental heal X% based on the strongest stat for each stack (Trigger Enchant on max stacks)",,31,Agility Debuff,Debuff,Agility,3,5,StatusBoost,TurnEnd,N/A,N/A,Debuff Agi by 10X%,,31,Dark Element,InstantBoost,Dark,5/10,CombatStart,AsBuff,Start the combat with X Dark element,,,,31,Multiply
,,,,,32,Strength Action Buff,InstantBoost,Strength,Gain X Str Action Buff,,32,Intelligence Debuff,Debuff,Intelligence,3,5,StatusBoost,TurnEnd,N/A,N/A,Debuff Int by 10X%,,32,Pure Element,InstantBoost,Element,N/A,CombatStart,AsBuff,Start the combat with X Pure element,,,,32,Combo
,,,,,33,Agility Action Buff,InstantBoost,Agility,Gain X Agi Action Buff,,33,Max HP Debuff,Debuff,MaxHP,3,5,StatusBoost,TurnEnd,N/A,N/A,Debuff MaxHP by 10X%,,33,Damage Mitigate,Buff,Protect,N/A,GotAttacked,JobOn,Reduce damage received by 10X% while job on,,,,33,Curse
,,,,,34,Intelligence Action Buff,InstantBoost,Intelligence,Gain X Int Action Buff,,34,Burned,Debuff,Fire,4,6,TurnStart,N/A,N/A,TurnEnd,Suffer 5X health% damage at the start of turn,,34,Strength Boost,Buff,Strength,5,StatusBoost,StatusBoost,Boost Str by 10X% (Max 40%),,,,34,Direct
,,,,,35,Max HP Action Buff,InstantBoost,MaxHP,Gain X MaxHP Action Buff,,35,Chilled,Debuff,Water,1,2,TurnStart,N/A,N/A,TurnEnd,"-1 action,if upgraded on second stack seal after-action-passives",,35,Agility Boost,Buff,Agility,5,StatusBoost,StatusBoost,Boost Agi by 10X% (Max 40%),,,,35,Delay
,,,,,36,Protect Enhance,InstantBoost,Protect,Gain X Protect Boost,,36,Paralyzed,Debuff,Thunder,3,5,BeforeAction,N/A,N/A,TurnEnd,10X% action will fail,,36,Intelligence Boost,Buff,Intelligence,5,StatusBoost,StatusBoost,Boost Int by 10X% (Max 40%),,,,36,Exhaust
,,,,,37,Gain AP,InstantBoost,Action,Gain X Action Points,,37,Seeded,Debuff,Earth,3,5,GotAttacked,N/A,N/A,TurnEnd,20X% recover from damage,,37,Max HP Boost,Buff,MaxHP,5,StatusBoost,StatusBoost,Boost MaxHP by 10X% (Max 40%),,,,37,Null
,,,,,38,Draw Ability,InstantBoost,Draw,Draw X abilities,,38,Dizzy,Debuff,Wind,3,5,BuffEffect,N/A,N/A,TurnEnd,"10X% buff and debuff skill will be used on the wrong target (Exclude gain element, Second Chance, Charge and Guard skills)",,38,Add Action,Buff,Action,N/A,StatusBoost,StatusBoost,Add self X to default action ,,,,38,Confuse
,,,,,39,Charge,InstantBoost,Charge,Apply a Charge buff on self,,39,Blinded,Debuff,Light,3,5,AttackEffect,N/A,N/A,TurnEnd,15X% attack will miss,,39,Add Draw,Buff,Draw,N/A,StatusBoost,StatusBoost,Add self X to default draw,,,,39,Slack
,,,,,40,Guard,InstantBoost,Guard,Apply a Guard buff on self,,40,Depressd,Debuff,Dark,3,5,HealEffect,N/A,N/A,TurnEnd,15X% reduce healing and protect gain,,40,Strength Nerf,Debuff,Strength,5,StatusBoost,StatusBoost,Reduce Str by 10X% ,,,,40,Certain
,,,,,41,Thunder Action Buff,InstantBoost,Thunder,Gain X Thunder Action Buff,,41,Bleeding,Debuff,Bleed,4,7,Multiple,TurnEnd,N/A,N/A,Suffer 1X health% damage per action,,41,Agility Nerf,Debuff,Agility,5,StatusBoost,StatusBoost,Reduce Agi by 10X% ,,,,41,Gold
,,,,,42,Fire Action Buff,InstantBoost,Fire,Gain X Fire Action Buff,,42,Injured,Debuff,Injury,8,15,AttackEffect,TurnEnd,N/A,N/A,3X% damage reduce ,,42,Intelligence Nerf,Debuff,Intelligence,5,StatusBoost,StatusBoost,Reduce Int by 10X% ,,,,42,Crystal
,,,,,43,Water Action Buff,InstantBoost,Water,Gain X Water Action Buff,,43,Venomed,Debuff,Venom,25,40,Multiple,TurnEnd,N/A,AttackEffect,Suffer 10X% damage based on own Str,,43,Max HP Nerf,Debuff,MaxHP,5,StatusBoost,StatusBoost,Reduce MaxHP by 10X% ,,,,43,Reflect
,,,,,44,Wind Action Buff,InstantBoost,Wind,Gain X Wind Action Buff,,44,Restrained,Debuff,Restrain,25,40,Multiple,TurnEnd,N/A,AttackEffect,Suffer 10X% damage based on own Agi,,44,Reduce Action,Debuff,Action,N/A,StatusBoost,StatusBoost,Reduce self X action ,,,,44,Dice
,,,,,45,Earth Action Buff,InstantBoost,Earth,Gain X Earth Action Buff,,45,Insane,Debuff,Insane,25,40,Multiple,TurnEnd,N/A,AttackEffect,Suffer 10X% damage based on own Int,,45,Reduce Draw,Debuff,Draw,N/A,StatusBoost,StatusBoost,Reduce self X draw,,,,45,Sacrifice
,,,,,46,Light Action Buff,InstantBoost,Light,Gain X Light Action Buff,,46,Protect,Protect,Protect,50% of HP,80% of HP,GotAttacked,GotAttacked,N/A,N/A,Absorb X amount of damage,,46,Strength Protect,Protect,Strength,N/A,CombatStart,AsBuff,Start combat with a X% Str Protect,,,,46,Full
,,,,,47,Dark Action Buff,InstantBoost,Dark,Gain X Dark Action Buff,,47,Second Chance,Protect,Guard,2,2,HealthReduced,HealthReduced,N/A,N/A,Prevent lethal damage X time and recover 10% of MaxHP,,47,Agility Protect,Protect,Agility,N/A,CombatStart,AsBuff,Start combat with a X% Agi Protect,,,,,
,,,,,48,Double Action Buff,InstantBoost,Multiply,Double self stat action buffs,,48,Strength Vulnerable,Vulnerable,Strength,10,10,GotAttacked,N/A,N/A,TurnEnd,Received 5X% more damage from Str damage,,48,Intelligence Protect,Protect,Intelligence,N/A,CombatStart,AsBuff,Start combat with a X% Int Protect,,,,,
,,,,,49,Strength Buff,Buff,Strength,Gain X Str Buff,,49,Agility Vulnerable,Vulnerable,Agility,10,10,GotAttacked,N/A,N/A,TurnEnd,Received 5X% more damage from Agi damage,,49,Max HP Protect,Protect,MaxHP,N/A,CombatStart,AsBuff,Start combat with a X% MaxHP Protect,,,,,
,,,,,50,Agility Buff,Buff,Agility,Gain X Agi Buff,,50,Intelligence Vulnerable,Vulnerable,Intelligence,10,10,GotAttacked,N/A,N/A,TurnEnd,Received 5X% more damage from Int damage,,50,Second Chance,Protect,Guard,2,CombatStart,AsBuff,Gain X Second Chance at the start of combat,,,,,
,,,,,51,Intelligence Buff,Buff,Intelligence,Gain X Int Buff,,51,HP Vulnerable,Vulnerable,MaxHP,10,10,GotAttacked,N/A,N/A,TurnEnd,Received 5X% more damage from MaxHP damage,,51,Burn Immune,Protect,Fire,1,GotBuff,JobOn,Immune to Burn,,,,,
,,,,,52,Max HP Buff,Buff,MaxHP,Gain X MaxHP Buff,,52,Protect Pierced,Vulnerable,Protect,10,10,GotAttacked,N/A,N/A,TurnEnd,"10X% damage will pierce through Protect, and damage received on Invulneralbe is increased by 1",,52,Chill Immune,Protect,Water,1,GotBuff,JobOn,Immune to Chill,,,,,
,,,,,53,Gain AP Next,Buff,Action,Gain X Action Points at the start of next turn,,53,Fire Vulnerable,Vulnerable,Fire,10,10,Multiple,N/A,N/A,TurnEnd,"Received 5X% more damage from Fire damage, boost Burn effect by 5%",,53,Paralysis Immune,Protect,Thunder,1,GotBuff,JobOn,Immune to Paralysis,,,,,
,,,,,54,Draw Ability Next,Buff,Draw,Draw X abilities at the start of next turn,,54,Water Vulnerable,Vulnerable,Water,10,10,Multiple,N/A,N/A,TurnEnd,"Received 5X% more damage from Water damage, if Chill is on, seal turn end passive",,54,Seed Immune,Protect,Earth,1,GotBuff,JobOn,Immune to Seed,,,,,
,,,,,55,Stack Charge,Buff,Charge,Apply a stack Charge buff on self,,55,Thunder Vulnerable,Vulnerable,Thunder,10,10,Multiple,N/A,N/A,TurnEnd,"Received 5X% more damage from Thunder damage, boost Paralysis effect by 10%",,55,Dizzy Immune,Protect,Wind,1,GotBuff,JobOn,Immune to Dizzy ,,,,,
,,,,,56,Stack Guard,Buff,Guard,Apply a stack Guard buff on self,,56,Earth Vulnerable,Vulnerable,Earth,10,10,Multiple,N/A,N/A,TurnEnd,"Received 5X% more damage from Earth damage, boost Seed effect by 20%",,56,Blind Immune,Protect,Light,1,GotBuff,JobOn,Immune to Blind,,,,,
,,,,,57,Fire Element,Buff,Fire,Add X Fire element to self,,57,Wind Vulnerable,Vulnerable,Wind,10,10,Multiple,N/A,N/A,TurnEnd,"Received 5X% more damage from Wind damage, boost Dizzy effect by 10%",,57,Depress Immune,Protect,Dark,1,GotBuff,JobOn,Immune to Depress,,,,,
,,,,,58,Water Element,Buff,Water,Add X Water element to self,,58,Light Vulnerable,Vulnerable,Light,10,10,Multiple,N/A,N/A,TurnEnd,"Received 5X% more damage from Light damage, boost Blind effect by 15%",,58,Bleed Immune,Protect,Bleed,1,GotBuff,JobOn,Immune to Bleed,,,,,
,,,,,59,Thunder Element,Buff,Thunder,Add X Thunder element to self,,59,Dark Vulnerable,Vulnerable,Dark,10,10,Multiple,N/A,N/A,TurnEnd,"Received 5X% more damage from Dark damage, boost Depress effect by 15%",,59,Injury Immune,Protect,Injury,1,GotBuff,JobOn,Immune to Injury,,,,,
,,,,,60,Earth Element,Buff,Earth,Add X Earth element to self,,60,Bleed Vulnerable,Vulnerable,Bleed,3,3,TurnEnd,N/A,N/A,TurnEnd,Trigger X extra Bleed in the end of the turn,,60,Venom Immune,Protect,Venom,1,GotBuff,JobOn,Immune to Venom,,,,,
,,,,,61,Wind Element,Buff,Wind,Add X Wind element to self,,61,Injury Vulnerable,Vulnerable,Injury,3,3,Multiple,N/A,N/A,TurnEnd,Increase Injury Stacks received by X and Injury stacks won't decrease in the end of turn,,61,Restrain Immune,Protect,Restrain,1,GotBuff,JobOn,Immune to Restrain,,,,,
,,,,,62,Light Element,Buff,Light,Add X Light element to self,,62,Invulnerable,Protect,Direct,1,1,GotAttacked,GotAttacked,N/A,TurnStart,Protect user from any direct damage X number of times where X is the current character LV.,,62,Insane Immune,Protect,Insane,1,GotBuff,JobOn,Immune to Insane,,,,,
,,,,,63,Dark Element,Buff,Dark,Add X Dark element to self,,63,Sudden Death,Sacrifice,Exhaust,1,1,Multiple,N/A,N/A,N/A,"Double any damage received after calculation, reduce healing and protect received by half",,63,Element Status Immnue,Protect,Element,1,GotBuff,JobOn,"Immune to elemental status effects: 0 = Common Elements, 1 = Special Elements",,,,,
,,,,,64,Pure Element,Buff,Element,"Add X to exist element, if no element on self, add a random element.",,64,Confuse,Debuff,Confuse,3,3,OnAction,ActionCycleEnd,N/A,N/A,Next action's skills will use a random stat as multiplier instead of the one they originally have. (Remove 1 stack on trigger),,64,Debuff Immnue,Protect,Debuff,N/A,GotBuff,JobOn,Immune to stat debuff,,,,,
,,,,,65,Double Buff,Buff,Multiply,Double self Stat buff,,65,Slack,Debuff,Slack,3,3,OnAction,OnAction,N/A,N/A,50% action will fail and recover 10% HP (Remove 1 stack on trigger),,65,Strength Counter,Reflect,Strength,N/A,AfterGotAttack,JobOn,"When attacked, reflect X% Str damage to enemy",,,,,
,,,,,66,Strength Debuff,Debuff,Strength,Apply X Str Debuff on the opponent,,66,Certain,InstantBoost,Certain,2,2,OnAction,ActionCycleEnd,N/A,N/A,"The next action will ignore the following debuffs: Paralysis, Slack, Confuse, Injury, Blind, Dizzy, Depress and boost attack, heal, protect by 20% (Remove 1 stack on trigger)",,66,Agility Counter,Reflect,Agility,N/A,AfterGotAttack,JobOn,"When attacked, reflect X% Agi damage to enemy",,,,,
,,,,,67,Agility Debuff,Debuff,Agility,Apply X Agi Debuff on the opponent,,67,Strength Action Debuff,InstantNerf,Strength,5,10,StatusBoost,N/A,N/A,ActionCycleEnd,"Debuff next action's Str attack, heal and protect l by 5X% (Consumed on use)",,67,Intelligence Counter,Reflect,Intelligence,N/A,AfterGotAttack,JobOn,"When attacked, reflect X% Int damage to enemy",,,,,
,,,,,68,Intelligence Debuff,Debuff,Intelligence,Apply X Int Debuff on the opponent,,68,Agility Action Debuff,InstantNerf,Agility,5,10,StatusBoost,N/A,N/A,ActionCycleEnd,"Debuff next action's Agi attack, heal and protect  by 5X% (Consumed on use)",,68,Max HP Counter,Reflect,MaxHP,N/A,AfterGotAttack,JobOn,"When attacked, reflect X% MaxHP damage to enemy",,,,,
,,,,,69,Max HP Debuff,Debuff,MaxHP,Apply X MaxhP Debuff on the opponent,,69,Intelligence Action Debuff,InstantNerf,Intelligence,5,10,StatusBoost,N/A,N/A,ActionCycleEnd,"Debuff next action's Int attack, heal and protect by 5X% (Consumed on use)",,69,Protect Counter,Reflect,Protect,N/A,GotAttacked,JobOn,"When attacked, take the protect removed as reflect damage back to the enemies",,,,,
,,,,,70,Inflict Burn,Debuff,Fire,Inflict X Burn on the opponent,,70,Max HP Action Debuff,InstantNerf,MaxHP,5,10,StatusBoost,N/A,N/A,ActionCycleEnd,"Debuff next action's MaxHP attack, heal and protect by 5X% (Consumed on use)",,70,Burn Reflect,Reflect,Fire,N/A,GotBuff,JobOn,Enemy gain the same Burn effect stacks as you if they cast it on you,,,,,
,,,,,71,Inflict Chill,Debuff,Water,Inflict X Chill on the opponent,,71,Rage Buff,Sacrifice,Charge,30,60,AttackEffect,N/A,AttackEffect,TurnEnd,Increase damage dealt by 0.5X%. (Remove at turn end),,71,Chill Reflect,Reflect,Water,N/A,GotBuff,JobOn,Enemy gain the same Chill effect stacks as you if they cast it on you,,,,,
,,,,,72,Inflict Paralysis,Debuff,Thunder,Inflict X Paralysis on the opponent,,72,Instinct Buff,Sacrifice,Guard,15,30,GotAttacked,N/A,GotAttacked,TurnStart,Reduce direct damage received by 1X%. (Remove at turn start),,72,Paralysis Reflect,Reflect,Thunder,N/A,GotBuff,JobOn,Enemy gain the same Paralysis stacks as you if they cast it on you,,,,,
,,,,,73,Inflict Seed,Debuff,Earth,Inflict X Seed on the opponent,,73,Corruption,Vulnerable,Venom,1,1,ActionCycleEnd,N/A,N/A,TurnEnd,"With 20 or more Venom, 50% chance Venom damage effect will triggered at the end of each action and reduce 8 Venom stacks on trigger. ",,73,Seed Reflect,Reflect,Earth,N/A,GotBuff,JobOn,Enemy gain the same Seed effect stacks as you if they cast it on you,,,,,
,,,,,74,Inflict Dizzy,Debuff,Wind,Inflict X Dizzy on the opponent,,74,Seal,Vulnerable,Restrain,1,1,Multiple,N/A,N/A,TurnEnd,"Remove one stack of Restrain and negate the activation of a reflect or counter effect. With 20 or more stacks, take half of the counter damage.",,74,Dizzy Reflect,Reflect,Wind,N/A,GotBuff,JobOn,Enemy gain the same Dizzy effect stacks as you if they cast it on you,,,,,
