0,Ability Description,Ability Name,Ability Tier,Cost,Skill Unit 1,,Multiplier,SkillUnit 2,,Multiplier,SkillUnit 3,,Multiplier,SkillUnit 4,,,Apply1,Apply2,Apply3,IconImage
93,Apply 1 Insane to the opponent,Cast Insane,Low,0,Debuff,Insane,4,,,,,,,,,,,,,Insane
94,,Strength Debuff,Low,1,Debuff,Strength,2,,,,,,,,,,,,,DebuffS
95,,Agility Debuff,Low,1,Debuff,Agility,2,,,,,,,,,,,,,DebuffA
96,,Intelligence Debuff,Low,1,Debuff,Intelligence,2,,,,,,,,,,,,,DebuffI
97,,Sneak,Low,1,Debuff,Light,1,Debuff,Wind,1,,,,,,,,,,Hidden
98,,Shield Break,Low,1,Vulnerable,Protect,5,Damage,Strength,3,,,,,,,,,,CrackedShield
99,Protect 15% / 25% damage from attacks.,Defend,Low,1,Protect,MaxHP,3,,,,,,,,,,,,,HandShield
100,Protect 70% Strength damage from attack.,Shield,Low,1,Protect,Strength,4,,,,,,,,,,,,,Shield
101,Protect 70% of Intelligence damage from attacks.,Barrier,Low,1,Protect,Intelligence,4,,,,,,,,,,,,,Circle
102,Potect 10% / 15% of MaxHP damage from attacks.,Block,Low,0,Protect,MaxHP,2,,,,,,,,,,,,,HandShield
103,Apply 4 Agility Action Buff and 2 Intelligence Action Buff on self.,Cautious,Low,0,InstantBoost,Agility,4,InstantBoost,Intelligence,2,,,,,,,,,,HazardSign
104,,Potion,Low,0,Heal,Null,350,,,,,,,,,,Exhaust,,,Potion
105,Recover 750 health.,High Potion,Medium,0,Heal,Null,800,,,,,,,,,,Exhaust,,,Potion
106,Action +1. Apply 2 Agility Action Buff on self.,Quick Hand,High,0,InstantBoost,Action,1,InstantBoost,Agility,2,,,,,,,,,,Hand
107,Apply 1 Protect Boost on self. Deal 100% of Protect damage to the opponent,Barrier Force,Medium,1,InstantBoost,Protect,1,Damage,Protect,5,,,,,,,,,,Ring
108,Apply 1 Strength Buff on self. Recover 100% of Strength health.,Channel Energy,Medium,1,Buff,Strength,1,Heal,Strength,5,,,,,,,,,,Meditation
109,Draw 1 Ability. Apply 4 Agility Action Buff on  self.,Quick Step,Medium,1,InstantBoost,Draw,1,InstantBoost,Agility,4,,,,,,,Exhaust,,,TabiBoot
110,Draw 2 Abilities.,Quick Draw,Master,1,InstantBoost,Draw,2,,,,,,,,,,,,,Pick
111,Draw 3 abilities. Apply 3 Burn on self.,Burning Steal,High,1,InstantBoost,Draw,3,Sacrifice,Fire,3,,,,,,,Exhaust,,,FlammingClaw
112,Draw 3 abilities. Apply 3 blind on self. ,Blindfold Draw,High,1,InstantBoost,Draw,3,Sacrifice,Light,3,,,,,,,Exhaust,,,Blindfold
113,Lose 10% of current Max Health. Draw 3 Abilities and discard 1 ability from hand.,Shuffle,Medium,1,Sacrifice,MaxHP,1,Sacrifice,Draw,1,InstantBoost,Draw,3,,,,Exhaust,,,Exchange
114,Deal 40% of Intelligence and 25% of Intelligence damage to the opponent.,Magic Orbs,Medium,0,Damage,Intelligence,3,Damage,Intelligence,2,,,,,,,Charge,,,Orbs
115,Dal 40% of agility and 25% of Agility damage to the opponent. ,Shuriken,Medium,0,Damage,Agility,3,Damage,Agility,2,,,,,,,Action,,,Dagger
116,Apply 4 Protect Pierce to the opponent. Deal 25% of Strength and 10% of Strength damage to the opponent.,Drill,Medium,0,Vulnerable,Protect,4,Damage,Strength,2,Damage,Strength,1,,,,Earth,Matter,,Drill
117,Lose 10% of current Max Health. Deal 15% / 25% of MaxHP damage to the opponent.,Headbutt,Medium,0,Sacrifice,MaxHP,1,Damage,MaxHP,3,,,,,,,,,,Dizzy
118,Deal 70% of Agility and 25% of Agility damage to the opponent. Apply1 Bleed to the opponent.,Fierce Claw,Medium,1,Damage,Agility,4,Damage,Agility,2,Debuff,Bleed,1,,,,,,,Claws
119,Deal 150% of Agility damage to the opponent.,Thrust,Medium,1,Damage,Agility,6,,,,,,,,,,,,,Spear
120,Deal 100% of Agility damage to the opponent. Apply 1 Blind to the opponent.,Jump,Medium,1,Damage,Agility,5,Debuff,Light,1,,,,,,,,,,UpArrow
121,Deal 100% of Agility damage to the opponent. Apply 1 Paralysis  to the opponent.,Paralysis Shot,Medium,1,Damage,Agility,5,Debuff,Thunder,1,,,,,,,,,,TripleNeedle
122,Deal 100% of agility damage to the opponent. Apply 1 Burn to the opponent. ,Ember,Medium,1,Damage,Agility,5,Debuff,Fire,1,,,,,,,Fire,,,BurningEmber
123,Deal 150% of Strength damage to the opponent.,Water Gun,Medium,1,Damage,Strength,6,,,,,,,,,,Water,,,WaterDrops
124,Deal 70% of Strength damage to the opponent. Apply 1 Chill and 1 Bleed to the opponent.,Frost Spear,Medium,1,Damage,Strength,4,Debuff,Water,1,Debuff,Bleed,1,,,,Water,,,IceSpear
125,Deal 100% of Intelligence damage to the opponent. Apply 1 Paralysis to the opponent.,Thunder Shock,Medium,1,Damage,Intelligence,5,Debuff,Thunder,1,,,,,,,Thunder,,,ThunderStruck
126,Deal 100% of Agility damage to the opponent. Apply 1 Seed to the opponent.,Vine Whip,Medium,1,Damage,Agility,5,Debuff,Earth,1,,,,,,,Earth,,,VineWhip
127,,Magnitude 8,Medium,2,Damage,MaxHP,1,Damage,Strength,5,Damage,Strength,4,Debuff,Wind,1,Earth,,,Earth
128,Deal100% of Intelligence damage to the opponent. Apply 1 Dizzy to the opponent.,Gust,Medium,1,Damage,Intelligence,5,Debuff,Wind,1,,,,,,,Wind,,,SwirlWind
129,Deal 100% of Strength damage to the opponent. Apply 1 Blind to the opponent.,Shine,Medium,1,Damage,Strength,5,Debuff,Light,1,,,,,,,Light,,,ShinyEntrance
130,Deal 100% of Agility damage to the opponent. Apply 1 Depress to the opponent.,Shadow Sneak,Medium,1,Damage,Agility,5,Debuff,Dark,1,,,,,,,Dark,,,ShadowFollower
131,Deal 100% of Strength damage to the opponent. Apply 2 Injury to the opponent.,Low Kick,Medium,1,Damage,Strength,5,Debuff,Injury,2,,,,,,,,,,Kick
132,Deal 150% ofStrength damage to the opponent. Apply 1 Bleed to the opponent.,Heavy Cut,Medium,1,Damage,Strength,6,Debuff,Bleed,1,,,,,,,,,,PiercingSword
133,Lose 10% of current Max Health. Deal 25% / 35% of MaxHP damage to the opponent.,Double Edge,Medium,1,Sacrifice,MaxHP,1,Damage,MaxHP,4,,,,,,,,,,GroundBreaker
134,,Fire Balls,Medium,1,Damage,Intelligence,4,Damage,Intelligence,3,Debuff,Fire,1,,,,Fire,,,FireBalls
135,Deal 70% of Intelligence and 25% of Intelligence damage to the opponent. Apply 1 Chill to the opponent,Ice Shards,Medium,1,Damage,Intelligence,4,Damage,Intelligence,2,Debuff,Water,1,,,,Water,,,StrikingDiamonds
136,,Wing Attack,Medium,1,Damage,Agility,6,,,,,,,,,,Wind,,,SpikyWing
137,Apply 5 Strength Action Buff on self. Deal 100% of Strength damage to the opponent.,Golem Punch,Medium,1,InstantBoost,Strength,5,Damage,Strength,5,,,,,,,Creature,,,Punch
138,Apply 5 Strength Action Buff on self. Deal 100% of Strength damage to the opponent.,Katana Blade,Medium,1,InstantBoost,Strength,5,Damage,Strength,5,,,,,,,Humanoid,,,Katana
139,Deal 15/25% of maxHP damage. Apply 2 insane to the opponent. (Lifesteal),Engulf,Medium,1,Damage,MaxHP,3,Debuff,Insane,2,,,,,,,LifeSteal,,,Swallow
140,Deal 10% / 15% of MaxHP and 10% / 15% of MaxHP damage to the opponent.,Assault,Medium,1,Damage,MaxHP,2,Damage,MaxHP,2,,,,,,,,,,Grab
141,Apply 5 MaxHP action Buff on self. Protect 15% / 25% Max HPdamage from attacks,Meat Shield,Medium,1,InstantBoost,MaxHP,5,Protect,MaxHP,3,,,,,,,,,,MuscleFat
142,Deal 100% of strength and 70%of Strength damage to the opponent. Apply 2 Dizzy to the opponent.,Rock Tomb,Medium,2,Damage,Strength,5,Damage,Strength,4,Debuff,Wind,2,,,,Earth,,,Rock
143,Deal 40% of Strength and 40% of Strength damage to the opponent. Apply 1 Burn to the opponent.,Lava Crack,Medium,1,Damage,Strength,3,Damage,Strength,3,Debuff,Fire,1,,,,Fire,Earth,,EarthCrack
144,Deal 70% of Agility damage to the opponent. Apply 1 Bleed and 2 Injury to the opponent.,Spear Throw,Medium,0,Damage,Agility,4,Debuff,Bleed,1,Debuff,Injury,2,,,,,,,SpearFishing
145,Deal 40% of Agility damage to the opponent. Apply 1 Bleed to the opponent.,Sharp Cutlass,Medium,0,Damage,Agility,3,Debuff,Bleed,2,,,,,,,,,,CrossCutlass
146,Apply 5 Protect Pierce to the opponent. Deal 100% of Agility damage to the opponent. Apply 1 Bleed to the opponent.,Backstab,Medium,1,Vulnerable,Protect,5,Damage,Agility,5,Debuff,Bleed,1,,,,Humanoid,,,BowieKnife
147,Apply 7 Intelligence action Buff on self. Deal 70% of Intelligence damage to the opponent,Cleanse,Medium,0,InstantBoost,Intelligence,7,Damage,Intelligence,4,,,,,,,Light,Spirit,,HolyWater
148,Recover 100% of agility and 70% of Intelligence health.,Repair,Medium,1,Heal,Agility,5,Heal,Intelligence,4,,,,,,,Matter,,,Repair
149,Apply 7 Protect Pierce to the opponent. ,Protect Ripped,Medium,1,Vulnerable,Protect,7,,,,,,,,,,,,,CrackedShield
150,,Electrotherapy,Medium,2,Heal,Intelligence,7,,,,,,,,,,Thunder,,,HeartBattery
151,Apply 8 Agility Action Buff on self. Deal 40% of Agility damage to the opponent.,Quick Slash,Medium,0,InstantBoost,Agility,8,Damage,Agility,3,,,,,,,,,,Slash
152,Apply 4 Strength Action Buff and Charge on self.,Power Charge,Medium,1,InstantBoost,Strength,4,InstantBoost,Charge,0,,,,,,,,,,Charge
153,Apply 4 Strength Action Buff and Stack Charge on self.,Battle Roar,Medium,1,InstantBoost,Strength,4,Buff,Charge,0,,,,,,,,,,Shout
154,Apply 1 Agility Action Buff on self. Apply 1 Blind and 1 Dizzy to the opponent.,Stealth,Medium,1,InstantBoost,Agility,1,Debuff,Light,1,Debuff,Wind,1,,,,,,,Hidden
155,Apply 4 Protect Boost on self.,Barrier Boost,Medium,0,InstantBoost,Protect,4,,,,,,,,,,Combo,,,BuffP
156,Apply 2 Fire Vulnerable and 2 Earth Vulnerable to the opponent. Deal 100% of Intelligence damage to the opponent.,Element Fuse . Magma,Medium,1,Vulnerable,Fire,2,Vulnerable,Earth,2,Damage,Intelligence,5,,,,Fire,Earth,,Volcano
157,"Deal 25% of Intelligence, 25% of Intelligence and 25% of Intelligence damage to the opponent. Apply 1 Chill to the opponent.",Element Fuse . Storm,Medium,1,Damage,Intelligence,2,Damage,Intelligence,2,Damage,Intelligence,2,Debuff,Water,1,Water,Wind,,Storm
158,,Element Fuse . Steam,Medium,1,Heal,Intelligence,5,Debuff,Strength,1,Debuff,Agility,1,,,,Fire,Water,,Steam
159,Protect 15% / 25% MaxHP damage from attacks. Recover 70% of Intelligence health,Element Fuse . Forest,Medium,1,Protect,MaxHP,3,Heal,Intelligence,4,,,,,,,Water,Earth,,Forest
160,,Element Fuse . Smoke,Medium,1,Damage,Intelligence,3,Debuff,Light,1,Debuff,MaxHP,1,,,,Fire,Wind,,Steam
161,Apply 2 Agility Buff on self.,Reload,Medium,1,Buff,Agility,2,,,,,,,,,,,,,Clockwise
162,Apply 2 Intelligence Buff on self.,Magic Buff,Medium,1,Buff,Intelligence,2,,,,,,,,,,,,,MagicSwirl
163,Apply Stack Guard on self. Protect 10% / 15% MaxHP damage from attacks.,Iron Guard,Medium,1,Buff,Guard,0,Protect,MaxHP,2,,,,,,,,,,Guard
164,Apply 1 MaxHP Buff and Guard on self.,Cover Guard,Medium,1,Buff,MaxHP,1,InstantBoost,Guard,0,,,,,,,,,,Shield
165,Apply 1 Intelligence Buff on self. Recover 70% of Strength and 70% of Agility damage to the opponent.,Meditate,Medium,1,Buff,Intelligence,1,Heal,Strength,4,Heal,Agility,4,,,,,,,Meditation
166,Apply 1 Agility Buff and 1 Intelligence Buff on self.,Calculate,Medium,1,Buff,Agility,1,Buff,Intelligence,1,,,,,,,,,,Processor
167,Apply 6 Strength Action Buff on self. Protect 70% Strength damage from attacks.,Battle Shield,Medium,1,InstantBoost,Strength,6,Protect,Strength,4,,,,,,,,,,VibratingShield
168,Remove all Burn and Fire Vulnerable from self. Apply 1 Fire Element on self,Fire Soul,Medium,0,Buff,Fire,1,Protect,Fire,0,,,,,,,,,,Fire
169,Remove all Chill and Water Vulnerable from self. Apply 1 Water Element on self,Water Soul,Medium,0,Buff,Water,1,Protect,Water,0,,,,,,,,,,Water
170,Remove all Paralysis and Thunder Vulnerable from self. Apply 1 Thunder Element on self,Thunder Soul,Medium,0,Buff,Thunder,1,Protect,Thunder,0,,,,,,,,,,Thunder
171,Remove all Seed and Earth Vulnerable from self. Apply 1 Earth Element on self.,Earth Soul,Medium,0,Buff,Earth,1,Protect,Earth,0,,,,,,,,,,Earth
172,Remove all Dizzy and Wind Vulnerable from self. Apply 1 Wind Element on self.,Wind Soul,Medium,0,Buff,Wind,1,Protect,Wind,0,,,,,,,,,,Wind
173,Remove all Blind and Light Vunerable from self. Apply 1 Light element on self,Light Soul,Medium,0,Buff,Light,1,Protect,Light,0,,,,,,,,,,Light
174,Remove all Depress and Dark Vulnerable from self. Apply 1 Dark Element on self.,Dark Soul,Medium,0,Buff,Dark,1,Protect,Dark,0,,,,,,,,,,Dark
175,Apply 2 Strength Vulnerable to the opponent. Deal 100% of Strength Damage to the opponent.,Smash,Medium,1,Vulnerable,Strength,2,Damage,Strength,5,,,,,,,,,,HeavyFall
176,Apply 1 Water Element on self. Deal 150% of Strength damage to the opponent.,Sea Assault,Medium,1,Buff,Water,1,Damage,Strength,6,,,,,,,,,,WaveCrest
177,,Ground Assault,Medium,1,Buff,Earth,1,Damage,MaxHP,3,,,,,,,,,,GroundBreaker
178,Apply 1 Wind Element on self.Deal 150% of Intelligence damage to the opponent.,Sky Assault,Medium,1,Buff,Wind,1,Damage,Intelligence,6,,,,,,,,,,AfterBurn
179,"Apply Charge, 4 Strength Action Buff, 4 Agility Action Buff and 4 Intelligence Action Buff on self.",Focus,Medium,1,InstantBoost,Charge,0,InstantBoost,Strength,4,InstantBoost,Agility,4,InstantBoost,Intelligence,4,,,,Focus
180,Apply 2 Intelligence Buff and 6 Intelligence Buff on self.,Focus Reading,Medium,2,Buff,Intelligence,2,InstantBoost,Intelligence,6,,,,,,,,,,Book
181,Apply 3 Intelligence Action Buff on self. Recover 100% of Intelligence health,Pray,Medium,1,InstantBoost,Intelligence,3,Heal,Intelligence,5,,,,,,,Light,Charge,,Kneeling
182,Apply 1 Paralysis and 4 Restrain to the opponent.,Immobilize Trap,Medium,1,Debuff,Thunder,1,Debuff,Restrain,4,,,,,,,,,,WolfTrap
183,Apply 1 Agility Debuff and 2 Strength Debuffs to the opponent.,Weaken,Medium,1,Debuff,Agility,1,Debuff,Strength,2,,,,,,,,,,Debuff
184,Apply 1 Strength Debuff and 2 Intelligence Debuff to the opponent.,Fragile,Medium,1,Debuff,Strength,1,Debuff,Intelligence,2,,,,,,,,,,ShatteredGlass
185,Apply 1 Intelligence and 2 Agility Debuff to the opponent.,Hesitate,Medium,1,Debuff,Intelligence,1,Debuff,Agility,2,,,,,,,,,,Idea
186,"Deal 40% of Agility, 25% of Agility and 25% of Agility damage to the opponent.",Triple Arrows,Medium,1,Damage,Agility,3,Damage,Agility,2,Damage,Agility,2,,,,,,,TripleArrows
